00024: StackBackTrace::build - 0x7ff7c80a8f70
00023: se_translator - 0x7ff7c7faff20
00022: se_translator - 0x7ff7c7faff20
00021: se_translator - 0x7ff7c7faff20
00020: se_translator - 0x7ff7c7faff20
00019: se_translator - 0x7ff7c7faff20
00018: se_translator - 0x7ff7c7faff20
00017: _CxxFrameHandler4 - 0x7fffd42f6c40
00016: __GSHandlerCheck_EH4 - 0x7ff7c8114d40
00015: _chkstk - 0x7fffe6f46f50
00014: RtlWow64GetCurrentCpuArea - 0x7fffe6e53940
00013: KiUserExceptionDispatcher - 0x7fffe6f46900
00012: Mesh::SetPos - 0x7ff7c7fe5c10
00011: Map::Update - 0x7ff7c8099890
00010: Title::Title - 0x7ff7c807a830
00009: SeqBattle::UpdateLoad - 0x7ff7c8066520
00008: SeqBattle::Update - 0x7ff7c8064aa0
00007: MainWindow::MainLoop - 0x7ff7c7fb4c30
00006: WinMain - 0x7ff7c7fb1170
00005: invoke_main - 0x7ff7c8115ed0
00004: __scrt_common_main_seh - 0x7ff7c8115cc0
00003: __scrt_common_main - 0x7ff7c8115ca0
00002: WinMainCRTStartup - 0x7ff7c8115f90
00001: BaseThreadInitThunk - 0x7fffe4fbe8c0
00000: RtlUserThreadStart - 0x7fffe6e1c320
