"filename", "language", "XML", "Log", "Markdown", "C++", "JSON", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\.vs\MultiPassRendering\v18\DocumentLayout.backup.json", "JSON", 0, 0, 0, 0, 104, 0, 0, 0, 0, 104
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\.vs\MultiPassRendering\v18\DocumentLayout.json", "JSON", 0, 0, 0, 0, 104, 0, 0, 0, 0, 104
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\CollectibleManager.cpp", "C++", 0, 0, 0, 291, 0, 0, 0, 0, 43, 334
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\CollectibleManager.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 9, 57
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\CraftMenu.cpp", "C++", 0, 0, 0, 414, 0, 0, 0, 0, 51, 465
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\CraftMenu.h", "C++", 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DamagePopupManager.cpp", "C++", 0, 0, 0, 77, 0, 0, 0, 0, 14, 91
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DamagePopupManager.h", "C++", 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DashBooster.cpp", "C++", 0, 0, 0, 206, 0, 0, 0, 0, 34, 240
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DashBooster.h", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DashBoosterManager.cpp", "C++", 0, 0, 0, 136, 0, 0, 0, 0, 15, 151
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DashBoosterManager.h", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DebugRpc.cpp", "C++", 0, 0, 0, 142, 0, 0, 0, 0, 19, 161
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DebugRpc.h", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DebugRpc.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 14, 47
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DestructibleManager.cpp", "C++", 0, 0, 0, 424, 0, 0, 0, 0, 64, 488
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\DestructibleManager.h", "C++", 0, 0, 0, 70, 0, 0, 0, 0, 16, 86
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy.cpp", "C++", 0, 0, 0, 749, 0, 0, 0, 0, 105, 854
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy.h", "C++", 0, 0, 0, 112, 0, 0, 0, 0, 12, 124
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy3.cpp", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy3.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy4.cpp", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Enemy4.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
