ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField.x,0,0,0,0,0,0,1,normal
703,../collision_wall.x,-11.5,1.5,9,0,0,0,1,normal
704,../collision_wall.x,11.5,1.51,7,0,0,0,1,normal
705,../collision_wall.x,-7,1.52,2.5,0,1.5708,0,1,normal
706,../collision_wall.x,7,1.53,-2.5,0,1.5708,0,1,normal
707,../collision_wall.x,-9.5,1.54,-6,0,0,0,1,normal
708,../collision_wall.x,9.5,1.55,-8,0,0,0,1,normal
709,../collision_wall.x,-3.5,1.56,11,0,1.5708,0,1,normal
710,../collision_wall.x,4.5,1.57,-11,0,0,0,1,normal
713,../collision_moving_platform.x,-2.5,0.82,1,0,0,0,1,normal
714,../collision_moving_platform.x,2.5,0.83,-1,0,0,0,1,normal
719,../cube_white.x,-12.5,1,11,0,0,0,1,normal
720,../cube_white.x,-6,1.01,7.5,0,0,0,1,normal
721,../cube_white.x,-1.5,1.02,4,0,0,0,1,normal
722,../cube_white.x,4.5,1.03,-4,0,0,0,1,normal
723,../cube_white.x,8,1.04,-7.5,0,0,0,1,normal
724,../cube_white.x,12.5,1.05,-11,0,0,0,1,normal
726,..\Skydome3D\Skydome.blend.x, 0,0.01, 0, 0, 0, 0, 1, normal
