ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField32x64.x,0,0,0,0,0,0,1,normal
1703,../collision_wall.x,-12,1.5,20,0,0,0,1,normal
1704,../collision_wall.x,12,1.51,20,0,0,0,1,normal
1705,../collision_wall.x,-12,1.52,-4,0,90,0,1,normal
1706,../collision_wall.x,12,1.53,-4,0,90,0,1,normal
1707,../collision_wall.x,-6,1.54,8,0,0,0,1,normal
1708,../collision_wall.x,6,1.55,8,0,0,0,1,normal
1709,../collision_wall.x,-3,1.56,-16,0,90,0,1,normal
1710,../collision_wall.x,3,1.57,-16,0,90,0,1,normal
1713,../collision_moving_platform/collision_moving_platform.x,-6,0.82,-8,0,0,0,1,normal
1714,../collision_moving_platform/collision_moving_platform.x,6,0.83,-8,0,0,0,1,normal
1715,../cube_white.x,-10,1,-16,0,0,0,1,normal
1716,../cube_white.x,-5,1.01,-20,0,0,0,1,normal
1717,../cube_white.x,0,1.02,-12,0,0,0,1,normal
1718,../cube_white.x,5,1.03,-20,0,0,0,1,normal
1719,../cube_white.x,10,1.04,-16,0,0,0,1,normal
1721,..\SkySphere\SkySphere.blend.x, 0,0.01,0, 0, 0, 0, 1, normal
1722,../cubeGreen/cube_green.x,0,1,-20,0,0,0,1,normal
1723,../cube_red.x,0,1,26,0,0,0,1,normal
1800,../plateLava.x,5,0.1,-10,0,0,0,1,normal
