AutoHide,n
#x,y,z,RotY,Scale
6.01,0.00,-19.95,0.9,0.90
6.00,0.00,-18.88,-0.8,0.90
6.00,0.00,-17.83,-2.8,0.90
6.02,0.00,-16.81,-2.5,0.90
7.08,0.00,-19.92,-2.3,0.90
7.06,0.00,-18.87,2.7,0.90
7.08,0.00,-17.83,2.9,0.90
7.05,0.00,-16.77,-1.3,0.90
8.11,0.00,-19.96,-1.1,0.90
8.14,0.00,-18.90,0.5,0.90
8.14,0.00,-17.85,0.3,0.90
8.10,0.00,-16.81,-1.8,0.90
9.19,0.00,-19.94,-1.1,0.90
9.18,0.00,-18.88,-1.2,0.90
9.19,0.00,-17.82,-1.5,0.90
9.18,0.00,-16.78,2.3,0.90
10.25,0.00,-19.95,2.9,0.90
10.20,0.00,-18.88,1.5,0.90
10.22,0.00,-17.83,-2.8,0.90
10.25,0.00,-16.77,0.4,0.90
11.31,0.00,-19.95,1.2,0.90
11.28,0.00,-18.88,-0.3,0.90
11.30,0.00,-17.80,-0.2,0.90
11.30,0.00,-16.81,1.2,0.90
12.35,0.00,-19.91,1.9,0.90
12.32,0.00,-18.88,1.0,0.90
12.31,0.00,-17.83,-2.0,0.90
12.31,0.00,-16.81,1.6,0.90
6.54,0.98,-19.41,3.0,0.90
6.55,0.98,-18.36,3.1,0.90
7.60,0.98,-18.37,3.1,0.90
8.64,0.98,-19.42,-2.1,0.90
8.65,0.98,-18.37,-4.0,0.90
8.64,0.98,-17.31,3.6,0.90
9.71,0.98,-19.41,1.4,0.90
9.73,0.98,-18.34,3.0,0.90
10.76,0.98,-19.44,1.1,0.90
10.73,0.98,-18.37,-2.7,0.90
10.73,0.98,-17.33,-2.8,0.90
11.80,0.98,-19.44,3.0,0.90
11.80,0.98,-18.37,-1.2,0.90
11.78,0.98,-17.29,3.9,0.90
7.08,1.97,-18.91,-4.0,0.90
7.06,1.97,-17.82,-3.4,0.90
8.16,1.97,-18.88,-3.5,0.90
8.13,1.97,-16.75,3.6,0.90
9.17,1.97,-17.85,2.7,0.90
10.22,1.97,-17.82,4.8,0.90
12.34,1.97,-18.90,-4.7,0.90
12.32,1.97,-17.85,1.9,0.90
9.17,2.95,-17.85,-3.5,0.90
10.22,2.95,-17.82,1.5,0.90
4.08,0.00,-17.31,32.0,0.90
4.64,0.00,-21.04,-21.0,0.90
14.05,0.00,-20.63,48.0,0.90
13.85,0.00,-16.54,-14.0,0.90
13.89,0.98,-16.50,9.0,0.90
