ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../stageSelectSea.x,0,0,0,0,0,0,1,normal
3,../stageSelectIsland.x,0,0,0,0,0,0,1,normal
26,../SkySphere/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal
30,../cube_red.x,-27,1,-3,0,0,0,1,normal
31,../cube_red.x,-21,1,3,0,0,0,1,normal
32,../cube_red.x,-15,1,-3,0,0,0,1,normal
33,../cube_red.x,-9,1,3,0,0,0,1,normal
34,../cube_red.x,-3,1,-3,0,0,0,1,normal
35,../cube_red.x,3,1,3,0,0,0,1,normal
36,../cube_red.x,9,1,-3,0,0,0,1,normal
37,../cube_red.x,15,1,3,0,0,0,1,normal
38,../cube_red.x,21,1,-3,0,0,0,1,normal
39,../cube_red.x,27,1,3,0,0,0,1,normal
