DashBoosterID,PosX,PosY,PosZ,DirX,DirY,DirZ,Speed,Duration,Radius,Scale,ChargeEnabled
stage12-dashbooster-01,14,0.5,22,-0.30,0.10,-0.95,18,0.75,1.1,0.6,n
stage12-dashbooster-02,9,0.5,12,0.70,0.08,-0.71,18,0.75,1.1,0.6,n
stage12-dashbooster-03,18,0.5,2,-0.70,0.08,-0.71,18,0.75,1.1,0.6,n
stage12-dashbooster-04,8,0.5,-8,-0.70,0.08,-0.71,18,0.75,1.1,0.6,n
stage12-dashbooster-05,-4,0.5,-17,0.70,0.08,-0.71,18,0.75,1.1,0.6,n
stage12-dashbooster-06,6,0.5,-26,-0.90,0.08,-0.44,18,0.75,1.1,0.6,n
stage12-dashbooster-07,4,0.5,17,-0.85,0.22,-0.50,20,0.9,1.1,0.6,y
stage12-dashbooster-08,-10,3.5,10,0.85,-0.10,-0.52,20,0.9,1.1,0.6,y
stage12-dashbooster-09,22,0.5,2,0.80,0.18,0.60,20,0.9,1.1,0.6,y
stage12-dashbooster-10,34,3.0,14,-0.88,-0.15,-0.48,20,0.9,1.1,0.6,y
stage12-dashbooster-11,-18,0.5,-18,-0.85,0.18,0.53,20,0.9,1.1,0.6,y
stage12-dashbooster-12,-30,3.0,-10,0.85,-0.12,-0.53,20,0.9,1.1,0.6,y
