Type,PosX,PosY,PosZ,RotY
mushroom,-3.0,0.2,-72.0,0.0
mushroom,3.0,0.2,-72.0,180.0
golem,0.0,0.2,-68.0,180.0
mushroom,15.0,0.2,-43.0,0.0
mushroom,21.0,0.2,-43.0,180.0
golem,15.0,0.2,-37.0,0.0
golem,21.0,0.2,-37.0,180.0
mushroom,-6.0,0.2,-4.0,0.0
mushroom,6.0,0.2,-4.0,180.0
golem,-6.0,0.2,4.0,0.0
golem,6.0,0.2,4.0,180.0
enemy2,0.0,0.2,7.0,180.0
mushroom,-3.0,0.2,33.0,0.0
mushroom,3.0,0.2,33.0,180.0
golem,-3.0,0.2,39.0,0.0
enemy2,3.0,0.2,39.0,180.0
mushroom,-21.0,0.2,69.0,0.0
mushroom,-15.0,0.2,69.0,180.0
golem,-21.0,0.2,75.0,0.0
enemy2,-15.0,0.2,75.0,180.0
