ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType,PlacementCsv
1,../ground/stage_visual_ground_world4.x,0,0,0,0,0,0,1,meshmix2,
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2,
3001,../static_platform/static_platform_2x2.x,-3.0,0.0,-75.0,0,0,0,1,meshmix2,
3002,../static_platform/static_platform_2x2.x,-3.0,0.0,-69.0,0,0,0,1,meshmix2,
3003,../static_platform/static_platform_2x2.x,3.0,0.0,-75.0,0,0,0,1,meshmix2,
3004,../static_platform/static_platform_2x2.x,3.0,0.0,-69.0,0,0,0,1,meshmix2,
3005,../static_platform/static_platform_2x2.x,15.0,0.0,-43.0,0,0,0,1,meshmix2,
3006,../static_platform/static_platform_2x2.x,15.0,0.0,-37.0,0,0,0,1,meshmix2,
3007,../static_platform/static_platform_2x2.x,21.0,0.0,-43.0,0,0,0,1,meshmix2,
3008,../static_platform/static_platform_2x2.x,21.0,0.0,-37.0,0,0,0,1,meshmix2,
3009,../static_platform/static_platform_2x2.x,-3.0,0.0,33.0,0,0,0,1,meshmix2,
3010,../static_platform/static_platform_2x2.x,-3.0,0.0,39.0,0,0,0,1,meshmix2,
3011,../static_platform/static_platform_2x2.x,3.0,0.0,33.0,0,0,0,1,meshmix2,
3012,../static_platform/static_platform_2x2.x,3.0,0.0,39.0,0,0,0,1,meshmix2,
3013,../static_platform/static_platform_2x2.x,-21.0,0.0,69.0,0,0,0,1,meshmix2,
3014,../static_platform/static_platform_2x2.x,-21.0,0.0,75.0,0,0,0,1,meshmix2,
3015,../static_platform/static_platform_2x2.x,-15.0,0.0,69.0,0,0,0,1,meshmix2,
3016,../static_platform/static_platform_2x2.x,-15.0,0.0,75.0,0,0,0,1,meshmix2,
3017,../static_platform/static_platform_2x2.x,-10.0,0.0,-91.0,0,0,0,1,meshmix2,
3018,../static_platform/static_platform_2x2.x,-16.0,0.0,-84.0,0,0,0,1,meshmix2,
3019,../static_platform/static_platform_2x2.x,-10.0,0.0,-77.0,0,0,0,1,meshmix2,
3020,../static_platform/static_platform_2x2.x,8.0,0.0,-64.0,0,0,0,1,meshmix2,
3021,../static_platform/static_platform_2x2.x,14.0,0.0,-56.0,0,0,0,1,meshmix2,
3022,../static_platform/static_platform_2x2.x,20.0,0.0,-49.0,0,0,0,1,meshmix2,
3023,../static_platform/static_platform_2x2.x,27.0,0.0,-31.0,0,0,0,1,meshmix2,
3024,../static_platform/static_platform_2x2.x,24.0,0.0,-22.0,0,0,0,1,meshmix2,
3025,../static_platform/static_platform_2x2.x,17.0,0.0,-15.0,0,0,0,1,meshmix2,
3026,../static_platform/static_platform_2x2.x,-10.0,0.0,15.0,0,0,0,1,meshmix2,
3027,../static_platform/static_platform_2x2.x,-16.0,0.0,22.0,0,0,0,1,meshmix2,
3028,../static_platform/static_platform_2x2.x,-10.0,0.0,29.0,0,0,0,1,meshmix2,
3029,../static_platform/static_platform_2x2.x,-8.0,0.0,46.0,0,0,0,1,meshmix2,
3030,../static_platform/static_platform_2x2.x,-15.0,0.0,55.0,0,0,0,1,meshmix2,
3031,../static_platform/static_platform_2x2.x,-22.0,0.0,62.0,0,0,0,1,meshmix2,
3032,../static_platform/static_platform_2x2.x,-27.0,0.0,81.0,0,0,0,1,meshmix2,
3033,../static_platform/static_platform_2x2.x,-22.0,0.0,88.0,0,0,0,1,meshmix2,
3034,../static_platform/static_platform_2x2.x,-13.0,0.0,94.0,0,0,0,1,meshmix2,
4001,../collision_moving_platform/collision_moving_platform.x,0.0,0.4,-91.0,0,0,0,1,meshmix2,
4002,../collision_moving_platform/collision_moving_platform.x,5.0,0.4,-64.0,0,0,0,1,meshmix2,
4003,../collision_moving_platform/collision_moving_platform.x,12.0,0.4,-32.0,0,0,0,1,meshmix2,
4004,../collision_moving_platform/collision_moving_platform.x,0.0,0.4,14.0,0,0,0,1,meshmix2,
4005,../collision_moving_platform/collision_moving_platform.x,-5.0,0.4,44.0,0,0,0,1,meshmix2,
4006,../collision_moving_platform/collision_moving_platform.x,-12.0,0.4,80.0,0,0,0,1,meshmix2,
5001,../plateLava.x,-45.0,-1.0,-105.0,0,0,0,3.75,meshmix2,
5002,../plateLava.x,-15.0,-1.0,-105.0,0,0,0,3.75,meshmix2,
5003,../plateLava.x,15.0,-1.0,-105.0,0,0,0,3.75,meshmix2,
5004,../plateLava.x,45.0,-1.0,-105.0,0,0,0,3.75,meshmix2,
5005,../plateLava.x,-45.0,-1.0,-75.0,0,0,0,3.75,meshmix2,
5006,../plateLava.x,-15.0,-1.0,-75.0,0,0,0,3.75,meshmix2,
5007,../plateLava.x,15.0,-1.0,-75.0,0,0,0,3.75,meshmix2,
5008,../plateLava.x,45.0,-1.0,-75.0,0,0,0,3.75,meshmix2,
5009,../plateLava.x,-45.0,-1.0,-45.0,0,0,0,3.75,meshmix2,
5010,../plateLava.x,-15.0,-1.0,-45.0,0,0,0,3.75,meshmix2,
5011,../plateLava.x,15.0,-1.0,-45.0,0,0,0,3.75,meshmix2,
5012,../plateLava.x,45.0,-1.0,-45.0,0,0,0,3.75,meshmix2,
5013,../plateLava.x,-45.0,-1.0,-15.0,0,0,0,3.75,meshmix2,
5014,../plateLava.x,-15.0,-1.0,-15.0,0,0,0,3.75,meshmix2,
5015,../plateLava.x,15.0,-1.0,-15.0,0,0,0,3.75,meshmix2,
5016,../plateLava.x,45.0,-1.0,-15.0,0,0,0,3.75,meshmix2,
5017,../plateLava.x,-45.0,-1.0,15.0,0,0,0,3.75,meshmix2,
5018,../plateLava.x,-15.0,-1.0,15.0,0,0,0,3.75,meshmix2,
5019,../plateLava.x,15.0,-1.0,15.0,0,0,0,3.75,meshmix2,
5020,../plateLava.x,45.0,-1.0,15.0,0,0,0,3.75,meshmix2,
5021,../plateLava.x,-45.0,-1.0,45.0,0,0,0,3.75,meshmix2,
5022,../plateLava.x,-15.0,-1.0,45.0,0,0,0,3.75,meshmix2,
5023,../plateLava.x,15.0,-1.0,45.0,0,0,0,3.75,meshmix2,
5024,../plateLava.x,45.0,-1.0,45.0,0,0,0,3.75,meshmix2,
5025,../plateLava.x,-45.0,-1.0,75.0,0,0,0,3.75,meshmix2,
5026,../plateLava.x,-15.0,-1.0,75.0,0,0,0,3.75,meshmix2,
5027,../plateLava.x,15.0,-1.0,75.0,0,0,0,3.75,meshmix2,
5028,../plateLava.x,45.0,-1.0,75.0,0,0,0,3.75,meshmix2,
5029,../plateLava.x,-45.0,-1.0,105.0,0,0,0,3.75,meshmix2,
5030,../plateLava.x,-15.0,-1.0,105.0,0,0,0,3.75,meshmix2,
5031,../plateLava.x,15.0,-1.0,105.0,0,0,0,3.75,meshmix2,
5032,../plateLava.x,45.0,-1.0,105.0,0,0,0,3.75,meshmix2,
7000,../SkySphere_night/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal,
8000,../fence.x,-56.0,0.5,-120.0,0,0,0,1,normal,
8001,../fence.x,-56.0,0.5,120.0,0,0,0,1,normal,
8002,../fence.x,-48.0,0.5,-120.0,0,0,0,1,normal,
8003,../fence.x,-48.0,0.5,120.0,0,0,0,1,normal,
8004,../fence.x,-40.0,0.5,-120.0,0,0,0,1,normal,
8005,../fence.x,-40.0,0.5,120.0,0,0,0,1,normal,
8006,../fence.x,-32.0,0.5,-120.0,0,0,0,1,normal,
8007,../fence.x,-32.0,0.5,120.0,0,0,0,1,normal,
8008,../fence.x,-24.0,0.5,-120.0,0,0,0,1,normal,
8009,../fence.x,-24.0,0.5,120.0,0,0,0,1,normal,
8010,../fence.x,-16.0,0.5,-120.0,0,0,0,1,normal,
8011,../fence.x,-16.0,0.5,120.0,0,0,0,1,normal,
8012,../fence.x,-8.0,0.5,-120.0,0,0,0,1,normal,
8013,../fence.x,-8.0,0.5,120.0,0,0,0,1,normal,
8014,../fence.x,0.0,0.5,-120.0,0,0,0,1,normal,
8015,../fence.x,0.0,0.5,120.0,0,0,0,1,normal,
8016,../fence.x,8.0,0.5,-120.0,0,0,0,1,normal,
8017,../fence.x,8.0,0.5,120.0,0,0,0,1,normal,
8018,../fence.x,16.0,0.5,-120.0,0,0,0,1,normal,
