AutoHide,n
#x,y,z,RotY,Scale
36.43,0.0,148.73,84.61,1.64
-93.73,0.0,8.54,352.2,2.08
84.84,0.0,-29.74,315.34,1.92
-15.58,0.0,134.54,39.48,1.2
-32.73,0.0,129.83,0.16,2.01
-78.65,0.0,-133.35,338.07,0.69
-66.84,0.0,-52.31,329.06,0.82
16.72,0.0,-145.36,294.58,1.58
-94.38,0.0,-35.09,278.52,1.07
26.18,0.0,-139.82,334.18,1.12
15.76,0.0,124.16,245.84,1.88
56.63,0.0,153.74,14.59,1.6
-69.7,0.0,-29.56,109.61,0.93
-81.42,0.0,86.62,239.65,1.54
71.37,0.0,-24.93,205.21,1.94
51.57,0.0,-133.29,337.71,0.87
89.86,0.0,-81.73,281.99,0.7
74.62,0.0,-115.76,95.2,1.66
66.55,0.0,19.39,156.58,2.07
-25.04,0.0,-141.91,241.64,2.04
75.66,0.0,21.26,213.3,1.84
38.73,0.0,-127.35,260.14,0.82
82.89,0.0,-66.73,77.01,0.66
-55.14,0.0,136.61,140.08,2.09
91.77,0.0,-128.51,192.59,0.85
30.86,0.0,-141.29,229.14,1.27
-29.92,0.0,127.77,240.98,1.58
-47.46,0.0,145.52,13.52,1.47
51.68,0.0,-128.76,189.62,1.92
-35.35,0.0,152.24,329.42,1.59
-68.32,0.0,41.33,324.14,1.16
95.08,0.0,77.57,88.23,0.94
-62.77,0.0,147.26,16.49,1.72
-75.0,0.0,127.92,1.37,1.45
64.67,0.0,-5.98,261.44,2.07
-69.94,0.0,-18.98,161.06,1.21
83.14,0.0,-62.27,135.68,2.02
-71.78,0.0,-114.53,50.57,1.52
-52.91,0.0,-141.2,78.36,1.3
-58.0,0.0,128.85,333.61,0.73
71.06,0.0,-107.14,279.88,1.46
65.75,0.0,100.25,73.03,0.99
54.24,0.0,129.93,281.19,1.01
36.86,0.0,139.27,21.26,1.16
-83.36,0.0,40.23,43.44,1.77
-64.57,0.0,-107.23,78.93,2.07
-15.9,0.0,151.73,22.85,2.04
-35.02,0.0,-140.18,344.13,1.22
19.0,0.0,131.58,201.93,1.34
-45.41,0.0,124.04,247.88,1.64
-19.36,0.0,-145.67,3.63,1.14
-18.49,0.0,-139.12,159.38,2.03
1.63,0.0,-150.56,345.94,1.1
-2.01,0.0,-144.91,145.88,1.64
72.03,0.0,-120.57,307.22,1.06
82.73,0.0,-8.55,129.75,0.74
-64.89,0.0,-143.22,291.33,0.83
75.7,0.0,92.96,115.69,1.81
20.04,0.0,-132.51,251.72,1.49
-85.05,0.0,46.07,7.43,1.81
14.48,0.0,140.72,135.02,1.96
-41.43,0.0,-152.39,24.85,0.88
-74.06,0.0,139.58,173.15,1.91
-3.36,0.0,-128.99,201.53,1.76
30.35,0.0,128.35,308.75,0.74
66.11,0.0,-26.18,195.32,0.89
74.13,0.0,-77.4,66.44,1.24
59.48,0.0,-124.31,159.48,1.54
36.26,0.0,-141.63,99.32,1.05
-74.36,0.0,-110.54,86.01,1.89
75.36,0.0,53.57,229.37,1.24
25.13,0.0,-148.49,25.1,1.39
-81.57,0.0,109.8,173.97,1.75
11.11,0.0,141.37,268.42,0.93
46.42,0.0,134.99,73.5,1.27
-10.91,0.0,140.66,161.81,2.1
93.4,0.0,65.17,189.66,1.21
-94.43,0.0,-14.92,195.33,1.38
-71.84,0.0,17.75,357.14,1.53
-56.24,0.0,-128.56,110.64,1.48
-84.09,0.0,-88.34,343.02,1.92
-95.15,0.0,134.73,112.63,0.97
35.92,0.0,127.1,175.32,1.66
-88.64,0.0,-73.0,24.72,1.49
-64.32,0.0,-103.62,31.56,1.66
-4.15,0.0,-139.48,32.59,1.04
-34.58,0.0,-150.38,26.78,1.61
10.15,0.0,132.09,19.88,1.17
-68.12,0.0,47.35,92.64,1.17
-62.19,0.0,138.87,231.17,2.08
