AutoHide,n
#x,y,z,RotY,Scale
76.56,0.0,41.72,353.01,1.23
-23.43,0.0,-144.09,191.78,1.03
57.42,0.0,126.57,186.71,1.09
-34.75,0.0,131.44,352.15,1.17
86.88,0.0,27.98,119.64,1.21
-84.07,0.0,88.13,252.78,1.04
-25.89,0.0,-136.56,107.73,1.23
54.15,0.0,134.43,194.86,1.21
-85.22,0.0,62.22,353.69,1.35
-85.94,0.0,26.41,72.55,1.29
5.4,0.0,127.52,31.87,1.21
79.99,0.0,-98.26,34.84,1.09
64.13,0.0,-126.74,354.1,1.11
16.17,0.0,-142.61,174.8,1.3
23.44,0.0,-143.08,233.33,1.31
32.63,0.0,-130.02,102.61,1.0
75.27,0.0,104.45,162.4,1.27
71.71,0.0,71.25,106.16,1.15
45.48,0.0,136.79,290.62,1.04
32.1,0.0,137.03,30.06,1.3
35.7,0.0,134.73,243.16,0.99
-38.66,0.0,138.54,70.57,1.17
-75.49,0.0,55.55,56.61,1.13
-79.2,0.0,-51.82,324.88,1.02
-64.35,0.0,54.96,106.05,0.99
82.16,0.0,140.83,231.12,1.15
-93.67,0.0,-74.36,182.07,1.06
-76.24,0.0,109.4,40.43,1.31
90.2,0.0,-80.49,216.18,1.22
27.64,0.0,135.89,350.29,1.27
-91.57,0.0,-129.18,236.74,0.96
90.26,0.0,59.99,139.82,1.07
-78.47,0.0,-9.87,176.97,1.06
-47.39,0.0,-137.86,350.8,1.33
-95.93,0.0,124.83,3.64,1.26
-82.17,0.0,-146.25,75.71,1.31
-68.04,0.0,35.94,290.08,1.31
1.63,0.0,140.58,161.09,1.09
-69.56,0.0,-16.76,348.4,0.95
13.48,0.0,143.37,351.57,1.03
-69.44,0.0,123.85,257.55,1.16
-5.63,0.0,133.3,82.61,1.24
41.41,0.0,141.44,48.04,1.14
-71.55,0.0,-81.18,304.14,1.11
-92.31,0.0,34.81,317.62,1.08
32.03,0.0,125.99,163.37,1.33
81.14,0.0,-109.67,345.18,1.07
-2.35,0.0,-131.15,314.01,0.93
-93.83,0.0,5.16,178.4,1.34
50.62,0.0,-134.92,18.53,1.29
-87.86,0.0,-7.08,291.85,1.26
-91.96,0.0,-2.44,53.85,0.92
-91.93,0.0,13.94,29.75,1.16
-53.14,0.0,-144.12,52.41,1.08
-69.69,0.0,61.58,63.31,0.94
28.46,0.0,147.37,162.66,1.2
-6.94,0.0,-124.53,356.69,0.95
-25.34,0.0,131.0,62.94,1.21
84.99,0.0,-39.58,122.84,1.23
22.75,0.0,-136.77,165.04,1.19
-72.8,0.0,-29.96,34.25,0.98
-74.02,0.0,97.94,194.34,1.1
65.03,0.0,-82.58,12.4,0.93
-57.25,0.0,143.63,51.66,1.26
-66.99,0.0,-107.39,290.91,0.94
74.88,0.0,-153.48,251.56,1.12
-65.04,0.0,-111.24,227.82,1.26
89.86,0.0,-124.73,34.34,1.09
-73.14,0.0,-142.17,327.61,1.1
50.9,0.0,136.98,340.38,1.01
84.66,0.0,123.8,83.82,1.25
50.31,0.0,-130.8,9.54,1.2
38.45,0.0,130.68,205.15,1.31
-43.45,0.0,149.7,178.56,1.18
-77.32,0.0,92.64,24.1,1.08
85.35,0.0,56.62,251.38,0.99
-79.5,0.0,39.49,221.44,1.2
37.16,0.0,-137.48,255.33,1.29
77.47,0.0,-36.67,160.74,1.06
-65.16,0.0,-27.75,47.72,1.01
-46.59,0.0,-127.97,215.54,0.97
82.08,0.0,149.09,57.89,1.06
89.61,0.0,-38.53,88.17,1.23
-65.55,0.0,32.27,215.91,1.17
80.87,0.0,-115.85,263.79,1.2
-55.37,0.0,-134.36,303.74,0.93
-40.44,0.0,129.8,295.27,1.06
13.75,0.0,-134.46,228.79,1.01
-30.62,0.0,-141.8,89.64,0.93
-69.95,0.0,20.65,332.95,0.93
71.37,0.0,16.38,134.99,0.97
64.29,0.0,-35.76,29.3,0.96
-86.58,0.0,-137.44,75.25,1.07
13.22,0.0,137.44,4.34,1.25
89.01,0.0,145.15,166.58,1.08
-92.61,0.0,-43.24,116.44,0.93
-82.71,0.0,-115.59,286.81,1.22
-93.83,0.0,135.4,34.94,1.33
-68.41,0.0,91.56,32.63,0.98
-80.82,0.0,11.55,312.94,1.15
70.56,0.0,-46.47,49.89,1.29
-78.23,0.0,-26.2,323.63,1.3
79.95,0.0,-44.78,122.26,1.11
69.41,0.0,119.54,230.07,1.31
-83.77,0.0,-57.88,269.21,1.02
-23.01,0.0,152.62,235.56,0.94
77.11,0.0,50.33,243.2,1.27
-82.63,0.0,-89.24,215.86,0.95
77.84,0.0,87.27,172.15,1.35
-67.91,0.0,105.95,284.8,1.1
51.32,0.0,-140.08,9.73,0.93
-68.49,0.0,28.35,64.56,1.28
75.85,0.0,-103.92,325.26,1.2
81.38,0.0,-74.8,207.78,1.17
85.38,0.0,16.03,282.05,1.21
60.6,0.0,130.62,185.66,1.1
-1.39,0.0,-137.76,15.81,1.31
85.66,0.0,-124.56,113.55,1.2
11.17,0.0,-146.19,339.42,1.11
-87.09,0.0,-29.78,116.9,1.2
67.38,0.0,-43.26,222.78,0.99
89.89,0.0,-1.89,92.19,0.98
64.45,0.0,59.68,143.36,1.32
74.94,0.0,58.41,238.52,1.07
-56.62,0.0,128.15,199.58,1.34
20.03,0.0,-153.94,339.72,1.03
-40.27,0.0,-144.74,251.75,0.93
81.09,0.0,-121.99,250.06,1.08
-91.25,0.0,-133.13,91.86,1.32
2.44,0.0,149.8,22.54,1.24
-84.39,0.0,-44.5,110.03,0.93
-91.48,0.0,41.55,334.72,1.31
-20.55,0.0,146.13,204.8,1.0
49.9,0.0,127.1,164.5,0.95
72.91,0.0,-129.62,221.52,0.91
-81.31,0.0,25.95,74.33,1.29
-59.2,0.0,-146.11,276.84,0.91
71.61,0.0,-20.05,276.77,1.1
17.22,0.0,148.46,306.37,0.92
-69.41,0.0,-59.45,285.07,1.23
