ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x240.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage32/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
4801,res/model/collision_wall/collision_wall_collision.x,-34,1.5,-28,0,0,0,1,Collision,n,
4802,res/model/collision_wall/collision_wall_collision.x,34,1.5,-28,0,0,0,1,Collision,n,
4803,res/model/collision_wall/collision_wall_collision.x,-34,1.5,28,0,0,0,1,Collision,n,
4804,res/model/collision_wall/collision_wall_collision.x,34,1.5,28,0,0,0,1,Collision,n,
4805,res/model/collision_wall/collision_wall_collision.x,-44,1.5,0,0,90,0,1,Collision,n,
4806,res/model/collision_wall/collision_wall_collision.x,44,1.5,0,0,90,0,1,Collision,n,
8090,res/model/collision_wall/collision_wall_tall_collision.x,-42,1.5,-72,0,0,0,1,Collision,n
8091,res/model/collision_wall/collision_wall_tall_collision.x,0,1.5,0,0,90,0,1,Collision,n
8092,res/model/collision_wall/collision_wall_tall_collision.x,42,1.5,72,0,0,0,1,Collision,n
