ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
1,../ground/stage_visual_ground_world2.x,0,0,0,0,0,0,1,meshmix2
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2
100,../collision_moving_platform/collision_moving_platform.x,-38,2.49,0,0,0,0,2.5,meshmix2
101,../collision_moving_platform/collision_moving_platform.x,-34,2.84,3,0,0,0,0.8,meshmix2
102,../collision_moving_platform/collision_moving_platform.x,-31,2.84,0,0,0,0,0.8,meshmix2
103,../collision_moving_platform/collision_moving_platform.x,-28,2.84,-3,0,0,0,0.8,meshmix2
104,../collision_moving_platform/collision_moving_platform.x,-25,2.84,0,0,0,0,0.8,meshmix2
105,../collision_moving_platform/collision_moving_platform.x,-22,2.84,3,0,0,0,0.8,meshmix2
106,../collision_moving_platform/collision_moving_platform.x,-19,2.59,0,0,0,0,2,meshmix2
107,../collision_moving_platform/collision_moving_platform.x,-28,2.84,-7,0,0,0,0.8,meshmix2
201,../collision_moving_platform/collision_moving_platform.x,-15,2.84,3,0,0,0,0.8,meshmix2
202,../collision_moving_platform/collision_moving_platform.x,-12,3.24,0,0,0,0,0.8,meshmix2
203,../collision_moving_platform/collision_moving_platform.x,-9,2.89,-3,0,0,0,2,meshmix2
204,../collision_moving_platform/collision_moving_platform.x,-6,3.54,0,0,0,0,0.8,meshmix2
205,../collision_moving_platform/collision_moving_platform.x,-3,2.94,3,0,0,0,0.8,meshmix2
206,../collision_moving_platform/collision_moving_platform.x,1,2.59,0,0,0,0,2,meshmix2
301,../collision_moving_platform/collision_moving_platform.x,5,2.84,3,0,0,0,0.8,meshmix2
302,../collision_moving_platform/collision_moving_platform.x,9,2.59,0,0,0,0,2,meshmix2
303,../collision_moving_platform/collision_moving_platform.x,13,2.84,-3,0,0,0,0.8,meshmix2
304,../collision_moving_platform/collision_moving_platform.x,17,2.59,0,0,0,0,2,meshmix2
305,../collision_moving_platform/collision_moving_platform.x,21,2.59,3,0,0,0,2,meshmix2
