ID,PhysicsID,Damage
stage7-lava-01,2301,20
stage7-lava-02,2302,20
stage7-lava-03,2303,20
stage7-lava-04,2304,20
stage7-lava-05,2305,20
stage7-lava-06,2306,20
stage7-lava-07,2307,20
stage7-lava-08,2308,20
stage7-lava-09,2309,20
stage7-lava-10,2310,20
stage7-lava-11,2311,20
stage7-lava-12,2312,20
stage7-lava-13,2313,20
stage7-lava-14,2314,20
stage7-lava-15,2315,20
stage7-lava-16,2316,20
stage7-lava-17,2317,20
stage7-lava-18,2318,20
stage7-lava-19,2319,20
stage7-lava-20,2320,20
stage7-lava-21,2321,20
stage7-lava-22,2322,20
stage7-lava-23,2323,20
stage7-lava-24,2324,20
stage7-lava-25,2325,20
stage7-lava-26,2326,20
stage7-lava-27,2327,20
stage7-lava-28,2328,20
