ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType,PlacementCsv
1,../ground/stage_visual_ground_world1.x,0,0,0,0,0,0,1,meshmix2,
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2,
7000,../SkySphere/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal,
3502,../cubeWoodSmall/cube_wood_small.x,5.0,0,-26.0,0,0,0,1,normal,
3503,../cubeWoodSmall/cube_wood_small.x,-5.0,0,-26.0,0,0,0,1,normal,
3504,../cubeWoodSmall/cube_wood_small.x,3.0,0,-15.0,0,0,0,1,normal,
3511,../collision_moving_platform/collision_moving_platform.x,0,0.4,2,0,0,0,1,meshmix2,
3512,../collision_moving_platform/collision_moving_platform.x,8,0.4,-10,0,0,0,1,meshmix2,
3601,../static_platform/static_platform_2x2.x,8,3.2,-5.5,0,0,0,1,normal,
3602,../static_platform/static_platform_1x1.x,-2,1.2,-23,0,0,0,1,normal,
3701,../plateLava.x,0,0.02,16,0,0,0,0.5,meshmix2,
3801,../tree2/lemonTree.x,-6,0,-8,0,0,0,1,normal,
11001,../attack_block/attack_wall.x,6,0.6,-8,0,0,0,1,meshmix2,
5000,../warp_bear/warp_bear.x,-12,0.2,-18,0,0,0,1,meshmix2,
5001,../warp_bear/warp_bear.x,12,0.2,20,0,180,0,1,meshmix2,
8001,../fence.x,-11,0.5,-30,0,0,0,1,normal,
8002,../fence.x,-11,0.5,30,0,0,0,1,normal,
8003,../fence.x,-3,0.5,-30,0,0,0,1,normal,
8004,../fence.x,-3,0.5,30,0,0,0,1,normal,
8005,../fence.x,5,0.5,-30,0,0,0,1,normal,
8006,../fence.x,5,0.5,30,0,0,0,1,normal,
8007,../fence.x,13,0.5,-30,0,0,0,1,normal,
8008,../fence.x,13,0.5,30,0,0,0,1,normal,
8009,../fence.x,-15,0.5,-26,0,90,0,1,normal,
8010,../fence.x,15,0.5,-26,0,90,0,1,normal,
8011,../fence.x,-15,0.5,-18,0,90,0,1,normal,
8012,../fence.x,15,0.5,-18,0,90,0,1,normal,
8013,../fence.x,-15,0.5,-10,0,90,0,1,normal,
8014,../fence.x,15,0.5,-10,0,90,0,1,normal,
8015,../fence.x,-15,0.5,-2,0,90,0,1,normal,
8016,../fence.x,15,0.5,-2,0,90,0,1,normal,
8017,../fence.x,-15,0.5,6,0,90,0,1,normal,
8018,../fence.x,15,0.5,6,0,90,0,1,normal,
8019,../fence.x,-15,0.5,14,0,90,0,1,normal,
8020,../fence.x,15,0.5,14,0,90,0,1,normal,
8021,../fence.x,-15,0.5,22,0,90,0,1,normal,
8022,../fence.x,15,0.5,22,0,90,0,1,normal,
8023,../fence.x,-15,0.5,30,0,90,0,1,normal,
8024,../fence.x,15,0.5,30,0,90,0,1,normal,
9200,../grass/grass.x,0,0,0,0,0,0,1,instancing,../grass/grass1-1.csv
9201,../tree2/lemonTree.Instancing.x,0,0,0,0,0,0,1,instancing,../tree2/lemonTree.Instancing.1-1.csv
9001,../attack_trigger/lever_box.x,0,0.1,10,0,0,0,1,normal,
9002,../attack_trigger/lever_box_door.x,0,0.1,7,0,0,0,0.98,normal,
9003,../attack_trigger/lever_box3.x,0,0.1,-5,0,0,0,1,normal,
9004,../attack_trigger/lever_box3_door.x,0,0.1,-5,0,0,0,0.98,normal,
9011,../attack_trigger/lever_box.x,12,0.1,-18,0,180,0,1,normal,
9012,../attack_trigger/lever_box_door.x,12,0.1,-15,0,0,0,0.98,normal,
9013,../attack_trigger/lever_box3.x,-12,0,10,0,0,0,1,normal,
9014,../attack_trigger/lever_box3_door.x,-12,0,10,0,0,0,0.98,normal,
9021,../attack_trigger/lever_box_floor.x,0,0,10,0,0,0,1,normal,
9022,../attack_trigger/lever_box3_floor.x,0,0,-5,0,0,0,1,normal,
9031,../attack_trigger/lever_box_floor.x,12,0,-18,0,0,0,1,normal,
