DashBoosterID,PosX,PosY,PosZ,DirX,DirY,DirZ,Speed,Duration,Radius,Scale
stage15-booster-01,0,0.5,-20,-0.985521,0.137973,0.098552,7.0000,1.249560,1.0,0.6
stage15-booster-02,-7.740419,1.5,-18.354405,0.943471,0.192866,0.269563,7,1.577693,1,0.6
stage15-booster-03,1.984892,3.5,-13.790935,-0.830357,0.249578,0.498214,7,1.173745,1,0.6
stage15-booster-04,-3.799626,5.5,-8.17486,0.924156,0.160727,0.346558,7,1.933163,1,0.6
stage15-booster-05,7.840009,7.5,-2.07429,-0.903596,0.183161,0.387255,7,1.671888,1,0.6
stage15-booster-06,-2.074805,9.5,4.347637,0.795975,0.23658,0.557183,7,1.24922,1,0.6
stage15-booster-07,3.898096,11.5,11.050952,-0.880216,0.177551,0.440108,7,1.731035,1,0.6
stage15-booster-08,-5.681974,13.5,17.386338,0.975343,0.149268,0.162557,7,2.096917,1,0.6
stage15-booster-09,7.87047,15.5,20.993781,-0.893516,0.166617,0.416974,7,1.857756,1,0.6
stage15-booster-10,-2.695635,17.5,27.460873,0.792933,0.588309,0.158587,3.777305,0.7,1,0.6
stage15-booster-2b,7.80532,11.5,8.495567,0.766168,0.073061,-0.638473,6.083202,0.7,1,0.6
stage15-booster-3b,7.654576,15.5,20.146589,-0.997626,0.029225,0.062352,7,1.755295,1,0.6
