ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
1,../ground/stage_visual_ground_world1.x,0,0,0,0,0,0,1,meshmix2
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2
101,../collision_wall/collision_wall.x,-12,1.5,19,0,90,0,1,meshmix2
102,../collision_wall/collision_wall.x,-5,1.5,19,0,90,0,1,meshmix2
103,../collision_wall/collision_wall.x,5,1.5,19,0,90,0,1,meshmix2
104,../collision_wall/collision_wall.x,12,1.5,19,0,90,0,1,meshmix2
111,../cubeWoodSmall/cube_wood_small.x,-0.5,0,19,0,0,0,1,normal
112,../cubeWoodSmall/cube_wood_small.x,0.5,0,19,0,0,0,1,normal
113,../cubeWoodSmall/cube_wood_small.x,-11,0,24,0,0,0,1,normal
114,../cubeWoodSmall/cube_wood_small.x,-11,0.95,24,0,20,0,1,normal
121,../base/base_rock1.x,-8,0,14,0,30,0,0.65,normal
122,../base/base_rock2.x,8,0,9,0,120,0,0.65,normal
201,../collision_moving_platform/collision_moving_platform.x,0,0.4,3.5,0,0,0,1,meshmix2
202,../collision_moving_platform/collision_moving_platform.x,0,0.4,-3.5,0,0,0,1,meshmix2
211,../collision_wall/collision_wall.x,-12,1.5,-10,0,90,0,1,meshmix2
212,../collision_wall/collision_wall.x,-5,1.5,-10,0,90,0,1,meshmix2
213,../collision_wall/collision_wall.x,5,1.5,-10,0,90,0,1,meshmix2
214,../collision_wall/collision_wall.x,12,1.5,-10,0,90,0,1,meshmix2
221,../collision_wall/collision_wall.x,-12,1.5,-20,0,90,0,1,meshmix2
222,../collision_wall/collision_wall.x,-5,1.5,-20,0,90,0,1,meshmix2
223,../collision_wall/collision_wall.x,5,1.5,-20,0,90,0,1,meshmix2
224,../collision_wall/collision_wall.x,12,1.5,-20,0,90,0,1,meshmix2
225,../base/base_rock1.x,0,0,-20,0,20,0,0.75,normal
226,../cubeWoodSmall/cube_wood_small.x,0,0,-18.4,0,0,0,1,normal
227,../base/base_rock2.x,-10,0,-24,0,220,0,0.7,normal
228,../base/base_rock1.x,9,0,-25,0,310,0,0.8,normal
250,../plateLava.x,-10,0.02,12,0,0,0,0.75,meshmix2
251,../plateLava.x,10,0.02,12,0,0,0,0.75,meshmix2
290,../SkySphere/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal
301,../fence.x,-11,0.5,-30,0,0,0,1,normal
302,../fence.x,-3,0.5,-30,0,0,0,1,normal
303,../fence.x,5,0.5,-30,0,0,0,1,normal
304,../fence.x,13,0.5,-30,0,0,0,1,normal
305,../fence.x,-11,0.5,30,0,0,0,1,normal
306,../fence.x,-3,0.5,30,0,0,0,1,normal
307,../fence.x,5,0.5,30,0,0,0,1,normal
308,../fence.x,13,0.5,30,0,0,0,1,normal
309,../fence.x,-15,0.5,-26,0,90,0,1,normal
310,../fence.x,-15,0.5,-18,0,90,0,1,normal
311,../fence.x,-15,0.5,-10,0,90,0,1,normal
312,../fence.x,-15,0.5,-2,0,90,0,1,normal
313,../fence.x,-15,0.5,6,0,90,0,1,normal
314,../fence.x,-15,0.5,14,0,90,0,1,normal
315,../fence.x,-15,0.5,22,0,90,0,1,normal
316,../fence.x,-15,0.5,30,0,90,0,1,normal
317,../fence.x,15,0.5,-26,0,90,0,1,normal
318,../fence.x,15,0.5,-18,0,90,0,1,normal
319,../fence.x,15,0.5,-10,0,90,0,1,normal
320,../fence.x,15,0.5,-2,0,90,0,1,normal
321,../fence.x,15,0.5,6,0,90,0,1,normal
322,../fence.x,15,0.5,14,0,90,0,1,normal
323,../fence.x,15,0.5,22,0,90,0,1,normal
324,../fence.x,15,0.5,30,0,90,0,1,normal
