PosX,PosY,PosZ,Brightness,ColorR,ColorG,ColorB,ColorA,Shape,LineLength,SquareWidth,SquareHeight,RotX,RotY,RotZ,Range,OwnerTag
-48,3.0,-52,1.0,0.2,0.55,1.0,1.0,Point,12,10,10,0,0,0,11,stage21-start
-36,2.5,-40,0.9,1.0,0.35,0.12,1.0,Point,12,10,10,0,0,0,10,stage21-lava1
-12,2.5,-34,0.8,0.45,0.25,1.0,1.0,Point,12,10,10,0,0,0,10,stage21-battle1
4,2.8,-25,0.9,1.0,0.35,0.12,1.0,Point,12,10,10,0,0,0,11,stage21-moving
35,6.8,-40,0.9,0.25,0.65,1.0,1.0,Point,12,10,10,0,0,0,12,stage21-high
44,2.6,-15,0.8,0.5,0.25,1.0,1.0,Point,12,10,10,0,0,0,10,stage21-east
34,2.5,2,1.0,1.0,0.3,0.1,1.0,Point,12,10,10,0,0,0,12,stage21-booster
15,2.5,15,0.8,0.2,0.65,1.0,1.0,Point,12,10,10,0,0,0,10,stage21-zigzag
-24,3.0,24,1.0,0.7,0.25,1.0,1.0,Point,12,10,10,0,0,0,12,stage21-gate
-35,2.5,36,1.0,1.0,0.3,0.1,1.0,Point,12,10,10,0,0,0,12,stage21-lava4
-48,3.0,52,1.0,0.15,0.7,1.0,1.0,Point,12,10,10,0,0,0,11,stage21-goal
