ID,RenderID,PhysicsID,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,StartX,StartY,StartZ,EndX,EndY,EndZ,Duration
1,6001,6001,-50,0.6499999999999999,-43,0,0,0,1.5,-50,0.6499999999999999,-43,-50,0.6499999999999999,-35,4.0
2,6002,6002,-49,0.6499999999999999,-21,0,0,0,1.5,-49,0.6499999999999999,-21,-45,0.6499999999999999,-11,5.0
3,6003,6003,-41,8.3,46,0,0,0,1.5,-41,8.3,46,-22,8.3,49,7.0
4,6004,6004,-8,8.3,49,0,0,0,1.5,-8,8.3,49,17,8.3,47,8.0
5,6005,6005,50,16.3,29,0,0,0,1.5,50,16.3,29,51,16.3,12,7.0
6,6006,6006,50,16.3,-2,0,0,0,1.5,50,16.3,-2,46,16.3,-21,7.0
7,6007,6007,39,16.3,-33,0,0,0,1.5,39,16.3,-33,21,16.3,-46,8.0
8,6008,6008,-5,24.3,-24,0,0,0,1.5,-5,24.3,-24,3,24.3,-2,8.0
9,6009,6009,10,24.3,10,0,0,0,1.5,10,24.3,10,21,24.3,23,6.0
10,6010,6010,18,24.3,29,0,0,0,1.5,18,24.3,29,-8,24.3,30,8.0
11,6011,6011,-18,24.3,24,0,0,0,1.5,-18,24.3,24,-28,24.3,7,7.0
12,6012,6012,-30,24.3,-7,0,0,0,1.5,-30,24.3,-7,-30,24.3,-23,6.0
13,6013,6013,-48,0.6499999999999999,0,0,0,0,1.5,-48,0.6499999999999999,0,-53,0.6499999999999999,6,4.0
14,6014,6014,-9,8.3,51,0,0,0,1.5,-9,8.3,51,-2,8.3,53,4.0
15,6015,6015,52,16.3,-2,0,0,0,1.5,52,16.3,-2,50,16.3,-8,4.0
16,6016,6016,0,24.3,-34,0,0,0,1.5,0,24.3,-34,11,24.3,-37,5.0
17,6017,6017,-36,24.3,-3,0,0,0,1.5,-36,24.3,-3,-46,24.3,-8,5.0
