DashBoosterID,PosX,PosY,PosZ,DirX,DirY,DirZ,Speed,Duration,Radius,Scale,ChargeEnabled
stage34-booster-01,0.0,0.5,-113.0,0.0000,0.1961,0.9806,13,1.0,1.5,0.6,n
stage34-booster-02,0.0,1.3,-100.0,-0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-03,-16.0,1.5,-88.0,-0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-04,-32.0,1.3,-76.0,-0.6934,0.1961,0.6934,17,1.0,1.5,0.6,n
stage34-booster-05,-44.0,1.5,-64.0,0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-06,-28.0,1.3,-52.0,0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-07,-12.0,1.5,-40.0,0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-08,4.0,1.3,-28.0,0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-09,20.0,1.5,-16.0,0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-10,36.0,1.3,-4.0,0.4865,0.1961,0.8514,16,1.0,1.5,0.6,n
stage34-booster-11,44.0,1.5,10.0,-0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-12,28.0,1.3,22.0,-0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-13,12.0,1.5,34.0,-0.7845,0.1961,0.5883,20,1.0,1.5,0.6,n
stage34-booster-14,-4.0,1.3,46.0,-0.2378,0.1961,0.9513,17,1.0,1.5,0.6,n
stage34-booster-15,-8.0,1.5,62.0,0.3983,0.1961,0.8961,20,1.0,1.5,0.6,n
stage34-booster-16,0.0,1.3,80.0,0.0000,0.1961,0.9806,16,1.0,1.5,0.6,n
stage34-booster-17,0.0,1.5,96.0,0.0000,0.1961,0.9806,18,1.0,1.5,0.6,n
stage34-booster-up-01,-12.0,1.5,-40.0,0.0000,1.0000,0.0000,8,0.35,1.5,0.6,n
stage34-booster-up-02,0.0,1.5,96.0,0.0000,1.0000,0.0000,8,0.35,1.5,0.6,n
