Type,PosX,PosY,PosZ,RotY
ghost,-40.0,0.2,-117.0,0
small_skeleton,40.0,0.2,-117.0,180
skeleton,2.0,1.2,-100.0,0
ghost,-14.0,1.4,-88.0,0
skeleton,-30.0,1.2,-76.0,180
ghost,-26.0,1.2,-76.0,0
skeleton,-42.0,1.4,-64.0,180
ghost,-30.0,1.2,-52.0,0
skeleton,-24.0,1.2,-52.0,180
ghost,-10.0,1.4,-40.0,0
skeleton,-16.0,1.4,-40.0,180
small_skeleton,2.0,1.2,-28.0,0
skeleton,38.0,1.2,-4.0,180
ghost,34.0,1.2,-4.0,0
skeleton,46.0,1.4,10.0,180
ghost,42.0,1.4,10.0,0
small_skeleton,28.0,1.2,22.0,0
skeleton,14.0,1.4,34.0,180
bird,10.0,3.0,34.0,0
skeleton,-2.0,1.2,46.0,180
ghost,-8.0,1.2,46.0,0
skeleton,0.0,1.2,80.0,180
bird,0.0,3.0,80.0,0
ghost,0.0,1.4,96.0,0
skeleton,-35.0,0.2,117.0,180
