WarpID,PairID,PosX,PosY,PosZ,RotY
warp01a,pair01,0,0.2,-100,0
warp01b,pair01,-30,0.2,-60,180
warp02a,pair02,30,0.2,-50,0
warp02b,pair02,-30,0.2,-20,180
warp03a,pair03,30,0.2,-10,0
warp03b,pair03,-30,0.2,20,180
warp04a,pair04,30,0.2,30,0
warp04b,pair04,-30,0.2,60,180
warp05a,pair05,30,0.2,70,0
warp05b,pair05,0,0.2,95,180
warp06a,pair06,0,0.2,-105,0
warp06b,pair06,0,0.2,-25,180
warp07a,pair07,0,0.2,-65,0
warp07b,pair07,-30,0.2,15,180
warp08a,pair08,0,0.2,-5,0
warp08b,pair08,20,0.2,60,180
warp09a,pair09,-50,0.2,-100,0
warp09b,pair09,50,0.2,100,180
