ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x240.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage_3_5/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
8200,res/model/collision_wall/collision_wall_tall_collision.x,-56,1.5,-80,0,90,0,1,Collision,n,
8201,res/model/collision_wall/collision_wall_tall_collision.x,-48,1.5,-80,0,90,0,1,Collision,n,
8202,res/model/collision_wall/collision_wall_tall_collision.x,-40,1.5,-80,0,90,0,1,Collision,n,
8203,res/model/collision_wall/collision_wall_tall_collision.x,-32,1.5,-80,0,90,0,1,Collision,n,
8204,res/model/collision_wall/collision_wall_tall_collision.x,-24,1.5,-80,0,90,0,1,Collision,n,
8205,res/model/collision_wall/collision_wall_tall_collision.x,-16,1.5,-80,0,90,0,1,Collision,n,
8206,res/model/collision_wall/collision_wall_tall_collision.x,-8,1.5,-80,0,90,0,1,Collision,n,
8207,res/model/collision_wall/collision_wall_tall_collision.x,0,1.5,-80,0,90,0,1,Collision,n,
8208,res/model/collision_wall/collision_wall_tall_collision.x,8,1.5,-80,0,90,0,1,Collision,n,
8209,res/model/collision_wall/collision_wall_tall_collision.x,16,1.5,-80,0,90,0,1,Collision,n,
8210,res/model/collision_wall/collision_wall_tall_collision.x,24,1.5,-80,0,90,0,1,Collision,n,
8211,res/model/collision_wall/collision_wall_tall_collision.x,32,1.5,-80,0,90,0,1,Collision,n,
8212,res/model/collision_wall/collision_wall_tall_collision.x,40,1.5,-80,0,90,0,1,Collision,n,
8213,res/model/collision_wall/collision_wall_tall_collision.x,48,1.5,-80,0,90,0,1,Collision,n,
8214,res/model/collision_wall/collision_wall_tall_collision.x,56,1.5,-80,0,90,0,1,Collision,n,
8215,res/model/collision_wall/collision_wall_tall_collision.x,-56,1.5,-40,0,90,0,1,Collision,n,
8216,res/model/collision_wall/collision_wall_tall_collision.x,-48,1.5,-40,0,90,0,1,Collision,n,
8217,res/model/collision_wall/collision_wall_tall_collision.x,-40,1.5,-40,0,90,0,1,Collision,n,
8218,res/model/collision_wall/collision_wall_tall_collision.x,-32,1.5,-40,0,90,0,1,Collision,n,
8219,res/model/collision_wall/collision_wall_tall_collision.x,-24,1.5,-40,0,90,0,1,Collision,n,
8220,res/model/collision_wall/collision_wall_tall_collision.x,-16,1.5,-40,0,90,0,1,Collision,n,
8221,res/model/collision_wall/collision_wall_tall_collision.x,-8,1.5,-40,0,90,0,1,Collision,n,
8222,res/model/collision_wall/collision_wall_tall_collision.x,0,1.5,-40,0,90,0,1,Collision,n,
8223,res/model/collision_wall/collision_wall_tall_collision.x,8,1.5,-40,0,90,0,1,Collision,n,
8224,res/model/collision_wall/collision_wall_tall_collision.x,16,1.5,-40,0,90,0,1,Collision,n,
8225,res/model/collision_wall/collision_wall_tall_collision.x,24,1.5,-40,0,90,0,1,Collision,n,
8226,res/model/collision_wall/collision_wall_tall_collision.x,32,1.5,-40,0,90,0,1,Collision,n,
