AutoHide,n
#x,y,z,RotY,Scale
-38.88,0.0,152.62,166.78,1.79
69.9,0.0,101.04,97.27,1.48
-4.75,0.0,147.77,198.52,0.67
-38.6,0.0,-138.36,152.08,1.83
-27.83,0.0,142.35,310.86,1.04
60.47,0.0,-141.73,99.87,1.1
-62.84,0.0,147.35,43.38,1.72
-83.43,0.0,109.56,199.65,0.67
-89.32,0.0,-18.19,127.9,0.85
20.45,0.0,137.11,116.66,1.18
-14.49,0.0,136.81,182.44,2.01
56.15,0.0,153.08,8.27,2.0
-43.54,0.0,-144.33,212.55,1.34
-12.41,0.0,-149.62,60.2,1.72
-91.21,0.0,83.52,131.92,1.9
-69.2,0.0,53.62,155.79,1.77
-78.22,0.0,-70.67,120.15,1.6
-73.29,0.0,69.15,355.99,1.13
68.31,0.0,17.3,288.61,1.95
-55.71,0.0,-147.33,72.49,1.79
-94.06,0.0,58.76,315.8,1.4
55.02,0.0,-132.52,326.13,0.69
-38.77,0.0,145.66,104.03,1.39
83.53,0.0,143.8,54.45,0.89
-60.15,0.0,-152.48,167.27,1.24
-66.85,0.0,138.07,265.54,1.44
-84.83,0.0,-142.46,279.15,1.58
60.21,0.0,-130.1,195.54,2.09
-51.48,0.0,141.48,299.47,1.64
2.78,0.0,-132.74,306.4,0.69
86.86,0.0,72.93,280.08,1.35
-11.66,0.0,143.72,254.72,1.64
-66.47,0.0,-32.68,263.7,0.78
-8.68,0.0,139.9,221.21,1.23
-48.42,0.0,146.71,316.98,2.03
-65.07,0.0,-24.13,102.22,0.88
41.47,0.0,-139.35,169.68,1.72
-67.25,0.0,-13.89,302.03,1.83
76.27,0.0,-132.41,21.0,0.96
87.85,0.0,108.06,245.34,1.3
-83.93,0.0,63.7,189.79,1.94
95.03,0.0,7.35,168.73,1.65
64.21,0.0,143.81,354.77,1.74
-91.43,0.0,-54.42,58.36,1.85
83.48,0.0,68.09,192.47,1.54
-77.48,0.0,-11.72,321.92,0.89
59.77,0.0,-148.83,283.59,1.16
-2.5,0.0,131.41,241.75,1.17
-41.52,0.0,-125.98,150.8,1.17
95.6,0.0,-140.2,87.38,1.5
74.8,0.0,-80.27,9.65,2.1
74.75,0.0,33.96,6.85,1.16
66.83,0.0,24.94,136.56,1.45
11.04,0.0,-140.79,280.36,1.38
38.11,0.0,150.15,211.51,1.36
-52.5,0.0,145.55,123.6,1.35
23.59,0.0,-144.81,341.04,1.08
72.16,0.0,126.17,341.98,1.14
-76.83,0.0,23.88,19.34,1.25
-29.86,0.0,128.78,223.14,1.22
55.64,0.0,-152.26,44.39,1.05
-88.67,0.0,-61.47,335.87,1.48
-12.23,0.0,127.11,29.8,1.42
92.39,0.0,-118.59,197.15,1.03
-78.78,0.0,87.03,45.53,2.06
47.2,0.0,133.14,188.83,1.63
91.17,0.0,-84.87,338.16,1.31
74.97,0.0,-33.4,218.67,1.54
92.36,0.0,35.23,124.76,1.61
-64.46,0.0,-55.42,281.88,0.98
