PageNo,Image,Resolution,Message,CharLeft,CharLeftResolution,CharLeftFlip,CharLeftScale,CharCenter,CharCenterResolution,CharCenterFlip,CharCenterScale,CharRight,CharRightResolution,CharRightFlip,CharRightScale
"1","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　長い山道を登りきり、マリンはようやく山頂へたどり着いた。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　そこには風化した石柱と、中央にくぼみのある古い祭壇があった。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","「いかにもお宝がありそう！　……なのに、何もないんですが」","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　祭壇の裏も草むらも探したが、黄金は見つからなかった。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","「ころさーん、どうしよう」「じゃ～、諦めましょう」「はーい」","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\novel_bg_p09_radio_shore.png","1600x900","　夕方、海岸へ戻ったマリンは桟橋の前で立ち止まった。","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\novel_bg_p09_radio_shore.png","1600x900","　杭にはほどけたロープだけが残り、モーターボートは消えていた。","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\novel_bg_p09_radio_shore.png","1600x900","「ころさーん！　帰りの船がなくなってる！」","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\novel_bg_p09_radio_shore.png","1600x900","「それは大変！　一週間くらい待ってて。ころねが助けに行くよ～」","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\novel_bg_p09_radio_shore.png","1600x900","「一週間！？　ポテチと酒しかないんですけど！」","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"3","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　無線によれば、島の中腹には古い洞窟があるらしい。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"3","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　黄金が眠っている可能性もあるという。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"3","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","「怖いから行きたくない……でも、何もしないのも怖い。あと撮れ高がない」","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"3","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","　マリンはライトを握り、山の中腹に開いた暗い洞窟へ向かった。","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
"3","res\2D_Image\novel_bg_p10_jungle_path.png","1600x900","「……来てしまった」","","","","","","","","","res\2D_Image\novel_chr_marine_radio_survival_transparent.png","1600x900","false","1.00"
