"PageNo","Image","Resolution","Message","CharLeft","CharLeftResolution","CharLeftFlip","CharLeftScale","CharCenter","CharCenterResolution","CharCenterFlip","CharCenterScale","CharRight","CharRightResolution","CharRightFlip","CharRightScale"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　洞窟の中は、ひんやりとしていた。　外の空気が明るすぎたせいで、
入り口から数歩進んだだけでも闇が濃く感じられる。
　水滴が岩肌を伝い、奥の方でぽたり、ぽたりと音を立てていた。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","「ころさーん、これホラーゲームじゃない？」
「ホラーゲームかもしれないね」
「認めないで？」","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　マリンはライトを片手に、慎重に奥へ進んだ。　しばらく歩くと、空間が少し開けた。
　そこには、小さな祠があった。　いや、正確には、祠だったものがあった。
　木は腐り、石は欠け、しめ縄らしきものは千切れて地面に落ちている。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　風化というより、何か大きな力で壊されたようにも見えた。
「主人公に壊されるために用意されたかのような祠がある……」
　マリンはライトを近づけた。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","「でも、すでに壊れてるんだな」
　祠の近くには、古い立札があった。　文字はかすれている。
　ところどころ読めない部分もあったが、何とか意味は拾えた。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","『妖怪ホシガールをここに封――』
『百年前、この祠が壊され――』
『人を喰らう妖怪は島民を襲い――』","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","『討伐隊は山頂の祭壇に――』
　マリンはゆっくりと読み上げ、それから腕を組んだ。
「ここで百年前に、","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","『お前、あの祠壊したんか』っていうお約束の出来事があったのね」
　その時だった。
「あの～……」","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","「うわぁああああ！
　おばけ！」　マリンは飛び上がった。　祠の背後から、黒い人影が出てきた。
　頭と胴体が丸くつながった、雪だるまのような形。　顔も服もなく、詳しい形状は分からない。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　ただ、そこに人のようなものが立っている、ということだけが分かった。
「お化けではありません……。私はこの島を守っている、守護霊です」
「そ、そうなんすね」","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","1600x900","false","1.00"
