"PageNo","Image","Resolution","Message","CharLeft","CharLeftResolution","CharLeftFlip","CharLeftScale","CharCenter","CharCenterResolution","CharCenterFlip","CharCenterScale","CharRight","CharRightResolution","CharRightFlip","CharRightScale"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　海岸に戻った時、日は少し傾き始めていた。","","","","","","","","","res\2D_Image\novel_chr_marine_normal_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「いやあ、疲れた。帰ったら絶対寝る。あと肉食べる」
　マリンはそんなことを言いながら桟橋へ向かった。","","","","","","","","","res\2D_Image\novel_chr_marine_normal_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　そして、足を止めた。","","","","","","","","","res\2D_Image\novel_chr_marine_normal_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「……」","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　桟橋には、波の音だけがあった。
　モーターボートがない。","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「な、ない……」","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　マリンは桟橋の端まで走った。海を見た。左右を見た。もう一度、
ロープを結んだはずの杭を見た。","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　そこには、切れたわけでもない、ほどけたようなロープが、むなしく垂れていた。","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「ころさーん！やばいよやばいよ！」
「どうしたのマリリーン」","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「モーターボートがなくなってるッス！」
「それは大変！運営に相談してみるよ」","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　無線の向こうで、ころねの声が少し遠くなった。数分後、再び声が戻ってくる。","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「マリリーン。私が助けに行くことになったよ～。
私もモーターボートで行くから一週間くらい待ってて」","","","","","","","","","res\2D_Image\novel_chr_marine_surprised_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「いや、社内で救助活動しようとしなくていいだろ」
「大事になったらお蔵入りになるから社内で解決したいって」","","","","","","","","","res\2D_Image\novel_chr_marine_serious_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「ブラック企業過ぎるだろ……」","","","","","","","","","res\2D_Image\novel_chr_marine_serious_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　マリンは砂浜に座り込んだ。帰れない。黄金もない。食べ物はポテチと酒。そして、
救助は一週間後。
　どう考えても、企画の方向性がおかしい。","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「それとマリリン。その無人島には洞窟があるんだって。
もしかしたらそっちにお宝があるかも？」","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「え～、怖いから行きたくない」
「そっか～」","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　ころねはあっさり引いた。
　そのあっさりさが、逆にマリンの心に刺さった。","","","","","","","","","res\2D_Image\novel_chr_marine_worried_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","　何もしないで一週間待つ。それはそれで怖い。あと、撮れ高がない。
　マリンは遠くの山を見た。その中腹あたりに、黒い口を開けたような洞窟が見えていた。","","","","","","","","","res\2D_Image\novel_chr_marine_determined_transparent.png","","false","1.00"
"1","res\2D_Image\story_bg_empty_pier.png","1672x941","「……来てしまった」
　しばらく後、マリンは洞窟の前に立っていた。","","","","","","","","","res\2D_Image\novel_chr_marine_determined_transparent.png","","false","1.00"
